,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12
,S,,LS,,SL,,L,,Si,,SiL,,SCL,,CL,,SiCL,,SC,,SiC,,C
Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%],Suction (y) [kPa],Retention (q) [%]
0,0.43,0,0.41,0,0.41,0,0.43,0,0.46,0,0.45,0,0.39,0,0.41,0,0.43,0,0.38,0,0.36,0,0.38
5,0.058764155,5,0.090863924,5,0.167510509,5,0.302472466,5,0.401005843,5,0.38008714,5,0.262557099,5,0.364444484,5,0.408092947,5,0.336866754,5,0.355264358,5,0.372024998
10,0.049306777,10,0.071041473,10,0.121823289,10,0.242131785,10,0.353426332,10,0.329688092,10,0.220936307,10,0.332159671,10,0.388546478,10,0.312308724,10,0.35092386,10,0.365437234
15,0.047180009,15,0.065365415,15,0.104828629,15,0.211524141,15,0.320968491,15,0.297808161,15,0.20055064,15,0.310814189,15,0.37325926,15,0.296821039,15,0.34715684,15,0.360118468
20,0.046344619,20,0.06279049,20,0.095894217,20,0.192664292,20,0.297515449,20,0.275751257,20,0.187961054,20,0.295490409,20,0.36106978,20,0.285821343,20,0.343868643,20,0.355706532
25,0.045924284,25,0.06135246,25,0.090354,25,0.179668484,25,0.279632995,25,0.259396439,25,0.179209641,25,0.283793135,25,0.351081658,25,0.277423743,25,0.34096727,25,0.351956963
30,0.045680437,30,0.060446797,30,0.086567931,30,0.170058319,30,0.265427231,30,0.246656898,30,0.172674418,30,0.27446553,30,0.342698912,30,0.270700458,30,0.338379728,30,0.348707322
35,0.045525195,35,0.059829716,35,0.083809155,35,0.162599817,35,0.253785676,35,0.236369559,35,0.16755393,35,0.26678541,35,0.335523262,35,0.265134368,35,0.336049859,35,0.345846336
40,0.045419659,40,0.059385201,40,0.081705178,40,0.156604486,40,0.244012969,40,0.227833095,40,0.163401209,40,0.260306096,40,0.329280827,40,0.26041058,40,0.333934357,40,0.343295153
45,0.04534432,45,0.059051434,45,0.080044965,45,0.151655338,45,0.23565112,45,0.220597567,45,0.159944855,45,0.254734821,45,0.323777352,45,0.256324376,45,0.331999453,45,0.340996144
50,0.045288463,50,0.058792641,50,0.078699815,50,0.147483714,50,0.228385188,50,0.214359761,50,0.157009326,50,0.24987064,50,0.318871079,50,0.252735796,50,0.330218457,50,0.338906054
55,0.045245783,55,0.058586772,55,0.077586672,55,0.143907957,55,0.221990748,55,0.208907054,55,0.154475397,55,0.245570382,55,0.314455918,55,0.249545269,55,0.328569985,55,0.336991659
60,0.045212357,60,0.058419542,60,0.076649479,60,0.140800394,60,0.216303045,60,0.204085397,60,0.152258876,60,0.241728853,60,0.310450707,60,0.246679634,60,0.327036688,60,0.335226931
65,0.045185638,65,0.058281312,65,0.075849001,65,0.138068394,65,0.211198054,65,0.199780097,65,0.150298392,65,0.238266743,65,0.306792154,65,0.244083677,65,0.325604317,65,0.333591123
70,0.045163907,70,0.05816536,70,0.075156934,70,0.135642949,70,0.206580385,70,0.195903765,70,0.148548011,70,0.235122943,70,0.303430058,70,0.241714787,70,0.324261049,70,0.332067449
75,0.045145968,75,0.058066863,75,0.074552331,75,0.133471482,75,0.202375301,75,0.19238849,75,0.146972576,75,0.232249471,75,0.300324015,75,0.239539437,75,0.322996972,75,0.330642145
80,0.04513097,80,0.057982275,80,0.074019353,80,0.131513152,80,0.198523295,80,0.189180583,80,0.145544658,80,0.229608039,80,0.297441069,80,0.237530815,80,0.321803704,80,0.329303793
85,0.045118287,85,0.057908935,85,0.073545791,85,0.129735703,85,0.19497631,85,0.18623696,85,0.144242503,85,0.227167658,85,0.294754028,85,0.235667165,85,0.320674096,85,0.328042823
90,0.045107457,90,0.057844811,90,0.073122083,90,0.128113282,90,0.191695048,90,0.183522588,90,0.143048603,90,0.224902923,90,0.292240219,90,0.233930607,90,0.31960201,90,0.326851136
95,0.045098127,95,0.057788323,95,0.072740627,95,0.126624897,95,0.188647011,95,0.181008643,95,0.141948686,95,0.222792781,95,0.289880558,95,0.232306284,95,0.318582134,95,0.325721823
100,0.045090025,100,0.057738229,100,0.072395306,100,0.125253309,100,0.185805057,100,0.178671166,100,0.140930988,100,0.220819605,100,0.287658844,100,0.230781728,100,0.317609846,100,0.32464894
