layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,island,locality,sand_resin,silt_resin,clay_resin,texture_class_resin
AR_C10P1-1_jun94,AR_C10,clay,5.26433238171339,1.0833758269603562,1.3111112519664454e-08,0.5307043111904193,26.0,31.0,43.0,9.6,20.0,28.52,-16.38,Armas_Canarias,0.6960556844547564,1.2,,1.19,0.010502308897164416,12,7.251582965332383e-23,0.5281731262288277,6.053146869635973,3.8928687981687005,0.020741880946201018,0.00997951433056036,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10P1-3_jun94,AR_C10,clay,3.596970145211183,1.182483985433784,0.16622249271397738,0.5726503694903086,23.0,31.0,46.0,20.6,20.0,28.52,-16.38,Armas_Canarias,0.6960556844547564,1.2,,1.07,0.006839267417560121,12,0.1301292647924052,0.5700796514663816,5.1639198257713295,3.7976613033051523,0.038505154720577674,0.005760425132546748,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10P1-5_jun94,AR_C10,clay,2.8664369784993853,1.2833526817792835,0.22963717065227804,0.5588329679488415,23.0,30.0,47.0,2.5,20.0,28.52,-16.38,Armas_Canarias,0.6960556844547564,1.2,,1.1,0.013678599001757236,12,0.2137571471756418,0.5536220391614655,3.945992171800465,3.8520983603800762,0.06105422432184037,0.012355040281494901,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10P1-6_jun94,AR_C10,clay,5.862893297129308,1.069697945952933,3.372435209713395e-18,0.4930771285892528,31.0,27.0,42.0,13.7,20.0,28.52,-16.38,Armas_Canarias,1.6821345707656612,2.9,,1.24,0.010898267317358762,12,1.22410655948936e-18,0.4928906417421961,5.564504645035759,1.01,0.06954416096701414,0.010810714403629785,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10P2-3_jun94,AR_C10,clay,2.360527898517039,1.2015918603355726,0.19228710469207394,0.4651435484765304,23.0,18.0,59.0,,47.5,28.52,-16.38,Armas_Canarias,0.580046403712297,1.0,,1.05,0.006113179036775836,12,0.19310233462237503,0.46521893638262174,2.322085611584505,1.1844513379006303,0.17176470963208393,0.006112745586269162,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10S-1_jun94,AR_C10,clay,3.0428551720336707,1.1323761546374498,0.0638252996292018,0.5856653534236486,18.0,39.0,43.0,28.9,5.0,28.52,-16.38,Armas_Canarias,2.2041763341067284,3.8,,1.01,0.011793274025298095,12,1.706120396795897e-08,0.5804571667138623,4.101425967932935,3.0919311061422827,0.03372213582836199,0.01054846461798993,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10S-3_jun94,AR_C10,clay,5.284497656904507,1.0957406884700511,1.3458146287839544e-11,0.5521477326287791,27.0,29.0,44.0,21.7,5.0,28.52,-16.38,Armas_Canarias,0.6960556844547564,1.2,,1.1,0.008554274164421467,12,2.781348062826613e-34,0.5499943092327486,6.25171412914562,4.507696475876996,0.02051100904943808,0.007994006454508911,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10S-5_jun94,AR_C10,clay,4.110729814800458,1.0955923304371562,5.010743732518715e-22,0.5466798697407844,24.0,29.0,47.0,1.3,5.0,28.52,-16.38,Armas_Canarias,1.0440835266821347,1.8,,1.12,0.012066304937409072,12,6.637419787865558e-33,0.5440438278861045,4.745298390168117,2.028846839819191,0.045589388348323975,0.011742843433148886,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C10S-6_jun94,AR_C10,clay loam,6.271539156367759,1.0852633684128055,1.3996677001640606e-09,0.5296588474431279,24.0,38.0,38.0,,5.0,28.52,-16.38,Armas_Canarias,1.5661252900232019,2.7,,1.04,0.012066481742652672,12,2.2759922988941524e-18,0.5281684039407366,7.26742217610911,4.142275585862196,0.02000000003766824,0.011742756334285405,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-1_nov99,AR_C1,sandy loam,1.3790515864951702,1.136208662251336,0.11064817958595972,0.6484268698147647,60.1,22.7,17.2,1618.42,7.5,28.52,-16.38,Armas_Canarias,1.1020881670533642,1.9,,0.97,0.0050586049510324416,14,2.0636594720389065e-09,0.6439514773585372,2.025472461298721,2.236012434749446,0.04287131382673349,0.004288134733643636,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
