layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,bd,lat,lon,source_db,rse_alpha,rse_n,oc,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
598005,52198,clay loam,0.0508566630806646,1.781269141,0.197160344,0.524044382,42.0,25.6,32.4,,2.0,1.411764706,6.6727777,-1.65,WOSIS,0.0479731524749505,0.0537962832452382,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.197160344,0.524044382,0.0508566630806646,1.781269141,0.4386025239068575,
598009,52198,silty clay loam,4.302816822258366,1.092612093,0.0,0.464869427,17.1,45.0,37.9,,101.0,1.172248804,6.6727777,-1.65,WOSIS,,,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.464869427,4.302816822258366,1.092612093,0.0847620977228192,
598061,52258,clay,1.1121434903866254,1.206479786,0.084929829,0.637580342,42.6,13.2,44.2,,11.0,1.108580106,6.1358333,-0.0769444,WOSIS,,,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.084929829,0.637580342,1.1121434903866254,1.206479786,0.1711423501628398,
598431,53561,sandy loam,0.4642169910213988,1.804189188,0.072523964,0.490448307,74.2,11.8,14.000000000000002,,165.0,1.461609621,12.666667,-7.983333,WOSIS,0.1284543409633178,0.1080788629055778,0.12,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.072523964,0.490448307,0.4642169910213988,1.804189188,0.4457344015521282,
598449,53564,sandy loam,0.3359447034410324,1.583099811,0.045661949,0.27668882,79.8,8.5,11.7,,14.0,1.646284102,12.666667,-7.983333,WOSIS,0.0551906627929211,0.048769444722046,0.29,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.045661949,0.27668882,0.3359447034410324,1.583099811,0.3683278887082124,
598566,54942,clay,0.5793126725232368,1.350032055,0.145953114,0.503167874,31.3,10.2,58.5,,37.0,1.085395052,-14.1685829,33.7763329,WOSIS,0.061957498594704,0.0516170554722481,1.48,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.145953114,0.503167874,0.5793126725232368,1.350032055,0.2592768473190068,
598568,54942,clay,2.6940786609086693,1.267823559,0.116063221,0.547932614,28.7,11.6,59.7,,116.0,0.958795563,-14.1685829,33.7763329,WOSIS,,,0.45,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.116063221,0.547932614,2.6940786609086693,1.267823559,0.2112467126034846,
598582,55529,clay,9.47961656834903,1.092826614,2.19e-19,0.478983501,40.8,6.0,53.2,,30.0,1.16,-13.6832781,34.2594452,WOSIS,,,0.79,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),2.19e-19,0.478983501,9.47961656834903,1.092826614,0.0849417581991648,
598585,55529,clay,5.8767799595172665,1.091613472,0.0,0.47104039,37.2,10.8,52.0,,123.5,1.181165204,-13.6832781,34.2594452,WOSIS,,,0.27,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.47104039,5.8767799595172665,1.091613472,0.0839248271937779,
598587,55529,clay,5.889638002783825,1.065081705,6.690000000000001e-21,0.419948104,40.6,11.6,47.8,,186.5,1.319218241,-13.6832781,34.2594452,WOSIS,,,0.15,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),6.690000000000001e-21,0.419948104,5.889638002783825,1.065081705,0.0611048942954099,
