layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
HB_FSUJ_001,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.089178650309797,1.2180676993745987,6.879212307535997e-28,0.4294919552789784,15.8841158841159,70.1298701298701,13.986013986014,17.369557625000002,27.5,51.109,10.412,Hohenbrink,0.97,0.47,1.41,0.0208030300919734,15,1.022776442956841e-31,0.4305436382533327,0.0623138298569647,1.01,0.2372195251327161,0.0192339711475603,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_002,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0549691548678235,1.2718297437010169,3.9412937477636956e-31,0.4544879227611667,13.2867132867133,67.6323676323676,19.0809190809191,48.95406479166667,27.5,51.109,10.412,Hohenbrink,1.08,0.5,1.32,0.0242879607801305,18,4.5297518604780626e-27,0.4557727582417125,0.0336695430884994,1.01,0.3138472788418527,0.0218221543706567,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_003,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4130,silt loam,0.0612335974818099,1.280597813377138,9.764743520290438e-34,0.4403272297874541,10.0,74.3,15.7,28.826290458333332,27.5,51.109,10.413,Hohenbrink,1.0,0.48,1.38,0.0229789349330569,17,1.6912262889501734e-25,0.4430591577646149,0.0411446660389395,1.01,0.3136954347639405,0.0203968269430928,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_004,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silt loam,0.0038990577042451,1.773726780900051,0.0020298763996676,0.3248957996227128,8.99100899100899,69.5304695304695,21.4785214785215,2.9497740833333332,27.5,51.108,10.413,Hohenbrink,1.35,0.46,1.44,0.0189471917652247,9,0.0041002017380798,0.3381148088806448,0.0021010313240367,1.01,0.98,0.0150036627489554,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_005,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silt,0.0542738447401513,1.2703592435329316,1.5665323811947697e-30,0.394726792935293,13.2,84.4,2.4,9.32800475,27.5,51.108,10.413,Hohenbrink,0.88,0.45,1.45,0.0212783850950807,13,9.531366636619066e-29,0.3973619103224208,0.036661857945589,1.01,0.3008929817811772,0.0193611582871801,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_006,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silt,0.1116344429831568,1.246957461956395,1.902457126745855e-30,0.4704208831151138,7.4,85.7,6.9,12.583132166666667,27.5,51.108,10.413,Hohenbrink,1.28,0.52,1.26,0.0215480894050354,17,2.8706328242596145e-29,0.4723195905826187,0.0776559730778009,1.01,0.2722382548544614,0.019470827203579,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_007,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silty clay loam,0.1350117589985535,1.1927884758567482,3.3707079582395673e-31,0.4642102951949108,9.9,62.5,27.6,52.455225500000005,27.5,51.108,10.413,Hohenbrink,1.18,0.51,1.31,0.0247909407029206,13,4.933465309613997e-44,0.4643159680720605,0.092525673113315,1.01,0.2088184893701908,0.0234375185152125,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_008,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0212106185781037,1.3735563924130132,8.385351763352354e-34,0.4021899612199732,9.7,70.4,19.9,3.7135455833333335,27.5,51.109,10.412,Hohenbrink,0.94,0.45,1.47,0.0205540349682972,13,5.0372282619341565e-27,0.4047354554654287,0.0103319101218107,1.01,0.4690283885396344,0.0167639074881682,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_009,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0575109684607444,1.2827699878905574,4.162344982363078e-28,0.4287043633407348,8.40840840840841,69.3693693693694,22.2222222222222,77.58696404166666,27.5,51.109,10.412,Hohenbrink,1.08,0.47,1.4,0.0201254613263472,15,2.829033194985292e-30,0.4310477706713839,0.0371341738994831,1.01,0.3206493923906485,0.0176026470111589,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_010,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0059121231543903,1.3746375072739796,3.4805537879936595e-17,0.4440399034033216,22.6,63.1,14.3,,27.5,51.109,10.412,Hohenbrink,1.02,0.47,1.41,0.0156148985836155,9,4.095413038786323e-20,0.4484636995546127,0.0037017108898862,1.01,0.42337255924056,0.0132875623587904,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_011,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0349568833001457,1.2699036098048946,8.577352514527799e-51,0.4195372432063023,33.2,66.7,0.1,18.611816333333337,27.5,51.109,10.412,Hohenbrink,1.04,0.48,1.38,0.0265700532964905,13,3.9333112375861665e-120,0.4126041771114188,0.0073917960402168,1.01,0.4383766916792645,0.0237105624413701,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_012,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0367727005906696,1.281384037971343,5.029072332515131e-32,0.4135395120092417,11.6116116116116,69.8698698698699,18.5185185185185,2.5691458333333332,27.5,51.109,10.412,Hohenbrink,1.28,0.45,1.46,0.0233695625403927,14,1.1137316228634587e-30,0.4148949404003771,0.0216455098923998,1.01,0.3272595778654965,0.0210382162254592,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_013,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silty clay loam,0.0060277045030474,1.419865742012297,7.074016523272802e-13,0.4052095217352766,9.4,63.3,27.3,8.313592958333333,27.5,51.109,10.412,Hohenbrink,1.53,0.47,1.41,0.0195788077735329,10,0.0472806360252956,0.4089356872700364,0.0018808961039613,1.01,0.9162989799524978,0.0171215281942221,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_014,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.0352864330094951,1.3113071387103838,5.6674884957295e-34,0.4030386299105042,11.1,72.5,16.4,33.86793816666667,27.5,51.109,10.412,Hohenbrink,0.93,0.46,1.42,0.02653461630269,15,1.3775118717180845e-30,0.4056949042274746,0.0212329162577205,1.01,0.3621804033163573,0.0240531348878376,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
HB_FSUJ_015,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.4207950005960124,1.0799954890480368,2.6581190267442228e-11,0.4857997136028185,12.6126126126126,74.1741741741742,13.2132132132132,12.583132166666667,27.5,51.109,10.412,Hohenbrink,0.96,0.49,1.36,0.0033467283160976,16,2.6325091868246244e-14,0.4862253953111784,0.3882376571609793,1.01,0.0809875881536745,0.003199704038209,undisturbed,Hohenbrink et al. 2023: HYPROP and KSAT on undisturbed cores; WP4 dewpoint for the dry end
