layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,rmse,n_points,porosity,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,oc,texture_lab,bd
KSSL_15812460,KSSL_50361.0,silty clay loam,0.0954529199819117,1.6448290842574345,0.1673387818090844,0.612279570298434,7.1,62.8,30.1,,77.0,37.634014,-102.26577,0.0135257889043065,7,0.5094339622641508,0.1295665118059172,0.6025748696019327,0.1727883468261105,5.571560569153725,0.0738897900943202,0.0072338020069104,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.3,sicl,1.3
KSSL_195619,KSSL_31927.0,silty clay loam,0.0852805689109823,1.770222350203798,0.1973800009998744,0.6718626768834667,3.6,65.9,30.5,,22.5,37.575554,-100.05194,0.0202534240074838,7,0.3999999999999999,0.1774665142973065,0.6576988454945033,0.1374886201183249,4.473491666538896,0.1217329360078527,0.0161568230651442,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.0,sicl,1.59
KSSL_209735,KSSL_34633.0,sandy loam,0.0257874072579971,2.318789865628828,0.0874200009999999,0.3791858837083527,70.0,15.7,14.3,,165.5,40.998611,-111.68139,0.0135402226057303,7,0.4037735849056603,0.0874200009999999,0.3746857009605416,0.0385323669214755,10.999999999979288,0.091395292422474,0.0113033980827264,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,fsl,1.58
KSSL_15830483,KSSL_53338.0,loam,0.0125012612745496,7.221633995451937,0.3341100009999999,0.4705819452106707,31.9,42.4,25.7,,146.5,45.292198,-123.37883,0.0235142351841444,7,0.5245283018867924,0.3341100009999999,0.4705881359899918,0.0204007573453978,10.999999999999716,0.1941806450124616,0.0233708538724447,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.2,l,1.26
KSSL_15830466,KSSL_53336.0,sandy loam,0.9206989547798484,1.314050808270478,0.1420536258203439,0.4693514472829394,66.0,23.4,10.6,,54.5,45.283253,-123.38062,0.0164156847539757,7,0.4943396226415094,0.1499589379499218,0.469054956288665,0.6658259141895991,1.010000000000424,0.3554536497183669,0.0162300621393942,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.2,cosl,1.34
KSSL_15812818,KSSL_50412.0,sandy loam,0.1167863559541267,1.295273782183577,0.0478145697471112,0.3843826792577647,57.7,27.5,14.8,,56.5,37.134819,-100.39576,0.0125493482536368,7,0.3962264150943395,2.1826274087014673e-19,0.3808835073448051,0.2218174653575621,9.787097581452382,0.0200000000114577,0.0113613283879781,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.2,fsl,1.6
KSSL_15747801,KSSL_40626.0,silt loam,0.0751309346130277,1.732192677170098,0.0738115852168202,0.5268323415491348,32.4,57.7,9.9,,41.5,,,0.0121023543500483,7,0.539622641509434,0.079596499744545,0.5276461151497532,0.0630028777803942,1.5812290926009849,0.5235887634338863,0.0120255126939471,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.4,sil,1.22
KSSL_209761,KSSL_34638.0,sandy loam,0.1475444324828804,1.6816155689020669,0.1134000009999999,0.4243047691585765,71.1,21.0,7.9,,22.5,38.609165,-110.00694,0.0197432292320783,7,0.3849056603773584,0.1134000009999999,0.4163061840608293,0.2073673594386556,10.9999999999994,0.0546583961114113,0.0135288211719823,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.5,fsl,1.63
KSSL_15830455,KSSL_53334.0,sandy loam,0.6474258396527139,1.5196624866561597,0.1215400008748404,0.5591814553543807,70.4,24.9,4.7,,178.0,45.282276,-123.37408,0.0133863718968719,7,0.5886792452830188,0.121540001,0.5591830282882733,0.4757089520726951,1.0100000018663142,0.5552300653120613,0.0132642803098127,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,sl,1.09
KSSL_15748183,KSSL_40705.0,loam,0.2777587968026841,1.4646892724076683,0.068781531925171,0.5279584567088108,47.1,39.7,13.2,,61.0,39.465389,-117.62072,0.0271076827790057,7,0.5547169811320753,0.0828322624192321,0.5273121245948995,0.1430093225635241,1.0100000000000016,0.6144813982029455,0.0269893264992226,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.9,l,1.1800000000000002
KSSL_195618,KSSL_31927.0,silty clay loam,0.0807072429400434,1.7621232970678524,0.1960867395113341,0.672698984279337,4.1,64.3,31.6,,8.0,37.575554,-100.05194,0.011222028317801,7,0.4150943396226415,0.1702059122654783,0.6642566535721889,0.13402328909848,3.5304611838655005,0.1476939391488206,0.007589411519794,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.6,sicl,1.55
KSSL_209453,KSSL_34589.0,loam,1.303991959783191,1.3042152604287192,0.0435261641556667,0.5628089108340443,47.3,39.3,13.4,,14.0,44.414696,-113.39831,0.0112211794258666,7,0.5924528301886792,0.0489108829273305,0.5627661012199157,1.0818876940233493,1.01,0.3209469219133506,0.0111531237171896,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",3.0,l,1.08
KSSL_15830576,KSSL_53351.0,silty clay,0.1362509029155542,1.647236849528551,0.3646200009999994,0.6028963639725082,12.4,46.1,41.5,,67.5,45.287613,-123.33283,0.013188321070129,7,0.4792452830188678,0.364620001,0.5984572907450042,0.2112065880185117,10.999999556526271,0.0491924866636627,0.0112541216288998,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.4,sic,1.38
KSSL_15746450,KSSL_40357.0,clay loam,0.1089271530701278,1.6163829464038484,0.1507000009999999,0.5062067447331781,37.9,33.4,28.7,,30.5,,,0.0121199901247453,7,0.4490566037735849,0.1216695641340739,0.4995869656511983,0.1998764239515826,10.999999999863132,0.0363192321109553,0.0065749368627408,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.9,cl,1.46
KSSL_15748312,KSSL_40731.0,clay loam,0.1091561518553136,1.6169765377970369,0.1247253390285663,0.5144528512198338,35.3,36.6,28.1,,190.0,33.601307,-102.62891,0.0172340931243862,7,0.3811320754716981,0.092275964160605,0.504888708064321,0.1943428010007933,10.99999999994441,0.0364571788978349,0.0114223223960101,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",,cl,1.64
KSSL_15748284,KSSL_40727.0,loamy sand,3.636669796998513,1.2074473107593031,8.320273739547056e-26,0.4121895041918891,86.1,5.5,8.4,,155.0,34.7715,-106.76289,0.0285191391391583,7,0.4339622641509434,3.6583147032160813e-14,0.4121313906360195,3.462319713992619,1.0100001135565082,0.2069667283721066,0.0284943290860277,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.0,ls,1.5
KSSL_15830518,KSSL_53343.0,silty clay loam,0.1131627310710572,1.6882383206531713,0.2890500009999999,0.5772394774825025,8.0,53.4,38.6,,68.0,45.282696,-123.32317,0.0189654653940913,7,0.4188679245283019,0.2890500009999999,0.5729828168832625,0.1907058482575711,6.623009383755062,0.0824279588896452,0.0179854629216024,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.3,sicl,1.54
KSSL_15830540,KSSL_53346.0,silty clay loam,0.1458391887765748,1.6615624704812584,0.3307500009999344,0.6825297704045152,18.4,44.3,37.3,,113.5,45.291752,-123.34727,0.0225188498259718,7,0.4226415094339623,0.3307500009999999,0.6754544367565398,0.2136987109131335,10.999999999928452,0.0519939509275513,0.0181685139899422,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.2,sicl,1.53
