layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
sDB_P_1_0,sDB_P_1,silt loam,0.6211431262113459,1.1881562940662262,0.004199021565273,0.3988931747617865,36.099999999999994,52.9,11.0,6.834583333333334,15.0,0.0068084309231445,24,6.392436772081596e-15,0.3980482178674143,0.6585458579008797,1.2735273253926995,0.1430991841491047,0.0067940265500626,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_1_1,sDB_P_1,sandy loam,0.0671813392967668,1.8156147343929687,0.0633850608366273,0.3537888391195451,51.5,44.0,4.5,0.0620833333333333,15.0,0.0079207974563676,26,0.0606920744585773,0.3510800918632836,0.0942625231857799,3.8512478267833368,0.1806614997508001,0.0077920181489417,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_1_2,sDB_P_1,sandy loam,0.2792829179149501,1.5393560073045427,0.0938020512739112,0.3131385038750086,78.6,10.9,10.5,4.116666666666666,60.0,0.0095013870888679,13,0.0888132756923716,0.308579660214083,0.3741837857045261,2.90966837733364,0.1549875675228731,0.0090678254225953,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_2_0,sDB_P_2,sandy loam,0.189038680620389,1.7841342456964453,0.0590000009999999,0.4251628057688399,76.2,17.3,6.5,0.7804166666666666,15.0,0.0144462950227369,22,0.0561033286100016,0.4224641512658077,0.2322143909662969,2.2706282354238656,0.3031339291321742,0.014184506504113,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_2_1,sDB_P_2,loamy sand,0.1447056043458674,1.6554603122017766,0.0690979467218779,0.4114259490279102,85.6,3.4,11.0,0.179875,60.0,0.0222801737396434,18,0.0673461899390949,0.4100645756074954,0.1568533732763557,1.8285572864092556,0.3415082543351947,0.0222540983600099,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_2_2,sDB_P_2,sandy loam,0.1064736160335795,2.7060579183638964,0.0781000009999999,0.4412793472857021,74.6,18.9,6.5,1.2129166666666666,15.0,0.0128181942155535,18,0.0781000009999999,0.4375172927536669,0.1396823173713908,10.999999998262822,0.123816137716726,0.0124596413872195,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_2_3,sDB_P_2,loamy sand,0.0927373946714785,3.331415636527434,0.0756000009999999,0.4261828842214628,76.5,18.0,5.5,2.1207083333333334,15.0,0.0147100196543711,22,0.0756000009999999,0.4245420286361236,0.1272706648229244,10.999999996852932,0.1444198792610121,0.0139180006959441,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_3_0,sDB_P_3,sandy loam,0.527169504094744,1.187205577748472,1.7028367765325284e-10,0.4117970665929839,57.1,33.9,9.0,0.045,15.0,0.0152171244788644,11,9.983895882122603e-14,0.4136224930841039,0.444469609952883,1.0100000000000329,0.1921995670496818,0.0150455033890178,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_3_1,sDB_P_3,sandy loam,0.1344726278546257,2.263314622469408,0.0750000009999999,0.3788241665776731,68.4,23.1,8.5,1.225,60.0,0.0123007061084155,23,0.0750000009999999,0.3795035363638667,0.1204272875847758,2.0950296272669613,0.6645258143580043,0.0122852248833466,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_4_0,sDB_P_4,sand,0.2250313721736325,2.0894050622169003,0.0382000009999999,0.3886589554665055,92.7,5.799999999999999,1.4999999999999998,4.152916666666667,15.0,0.0156049441407646,18,0.0382000009999999,0.3831170770732554,0.3782690322342888,10.999999999996136,0.0710125445834633,0.0116115694643356,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_4_1,sDB_P_4,sand,0.2149745136153178,2.29116647601228,0.0460000009999888,0.4152315960593559,91.7,6.800000000000001,1.5000000000000002,3.848333333333333,15.0,0.0159130718854569,18,0.0436541394218874,0.4112055426132579,0.3749358342479442,10.999999993678385,0.078173386547247,0.0140121907286499,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_4_2,sDB_P_4,sand,0.1462370331266543,2.328337897479054,0.0844000009999998,0.4411107766218122,89.1,8.9,2.0,,15.0,0.0126002199719558,18,0.0844000009999999,0.4377362243058499,0.1989885040765484,3.8064800741808007,0.2722489413400933,0.0115105675322908,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_4_3,sDB_P_4,sand,0.1152122212248619,2.425259966259536,0.087936491458063,0.4122784065634461,88.7,9.3,2.0,,15.0,0.0047621455762502,9,0.0889000009999999,0.4145744624697871,0.0831043788475733,1.89899891077704,0.979999999999964,0.0028606124136176,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
