layer_id,volcanic,andic,volcanic_evidence,p_andosols,wrb,km_any,volcano_any,km_holocene,volcano_holocene
598005,unlikely,unknown,,1.0,Acrisols,1162.6,Sao Tome,1202.9,"Basile, Pico"
598009,unlikely,unknown,,1.0,Acrisols,1162.6,Sao Tome,1202.9,"Basile, Pico"
598061,unlikely,unknown,,2.0,Acrisols,990.7,Sao Tome,1019.4,"Basile, Pico"
598431,unlikely,unknown,,0.0,Acrisols,1053.3,Cap-Vert,1767.0,Tahalra Volcanic Field
598449,unlikely,unknown,,0.0,Acrisols,1053.3,Cap-Vert,1767.0,Tahalra Volcanic Field
598566,unlikely,unknown,,0.0,Lixisols,546.0,Tukuyu,549.3,Kyejo
598568,unlikely,unknown,,0.0,Lixisols,546.0,Tukuyu,549.3,Kyejo
598582,unlikely,unknown,,0.0,Lixisols,496.3,Tukuyu,497.9,Kyejo
598585,unlikely,unknown,,0.0,Lixisols,496.3,Tukuyu,497.9,Kyejo
598587,unlikely,unknown,,0.0,Lixisols,496.3,Tukuyu,497.9,Kyejo
598588,unlikely,unknown,,0.0,Lixisols,768.0,Tukuyu,769.0,Kyejo
598591,unlikely,unknown,,0.0,Lixisols,768.0,Tukuyu,769.0,Kyejo
598592,unlikely,unknown,,0.0,Lixisols,768.0,Tukuyu,769.0,Kyejo
598593,unlikely,unknown,,0.0,Lixisols,768.1,Tukuyu,769.2,Kyejo
598594,unlikely,unknown,,0.0,Lixisols,768.1,Tukuyu,769.2,Kyejo
598624,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598627,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598633,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598639,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598640,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598648,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598663,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598664,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598665,unlikely,unknown,,0.0,Acrisols,827.4,Todra Volcanic Field,827.4,Todra Volcanic Field
598670,unlikely,unknown,,0.0,Vertisols,548.2,Todra Volcanic Field,548.2,Todra Volcanic Field
598675,unlikely,unknown,,0.0,Vertisols,548.2,Todra Volcanic Field,548.2,Todra Volcanic Field
598678,unlikely,unknown,,0.0,Vertisols,548.2,Todra Volcanic Field,548.2,Todra Volcanic Field
598682,unlikely,unknown,,0.0,Vertisols,548.2,Todra Volcanic Field,548.2,Todra Volcanic Field
598693,unlikely,unknown,,0.0,Fluvisols,485.9,Jos Plateau,488.0,Todra Volcanic Field
599474,unlikely,unknown,,0.0,Lixisols,1363.1,Tukuyu,1372.6,Kyejo
599485,unlikely,unknown,,0.0,Luvisols,1357.7,Tukuyu,1367.2,Kyejo
599486,unlikely,unknown,,0.0,Luvisols,1357.7,Tukuyu,1367.2,Kyejo
599536,unlikely,unknown,,0.0,Lixisols,967.8,Tukuyu,975.9,Kyejo
599537,unlikely,unknown,,0.0,Lixisols,967.8,Tukuyu,975.9,Kyejo
599604,unlikely,unknown,,0.0,Acrisols,998.2,Tukuyu,1005.4,Kyejo
599608,unlikely,unknown,,0.0,Acrisols,998.2,Tukuyu,1005.4,Kyejo
599655,unlikely,unknown,,0.0,Lixisols,955.7,Tukuyu,962.4,Kyejo
599697,unlikely,unknown,,0.0,Arenosols,904.8,Tukuyu,911.0,Kyejo
599779,unlikely,unknown,,0.0,Chernozems,299.6,Psathoura,516.3,Methana
601050,probable,unknown,Holocene volcano <= 25 km,,,24.6,McMurdo Province at 76.8°S,24.6,McMurdo Province at 76.8°S
601053,probable,unknown,Holocene volcano <= 25 km,,,24.6,McMurdo Province at 76.8°S,24.6,McMurdo Province at 76.8°S
601055,unlikely,unknown,,,,37.0,Taylor Valley,104.0,McMurdo Province at 76.8°S
603425,unlikely,unknown,,3.0,Podzols,298.5,Psathoura,502.0,Methana
604775,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
604776,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
604777,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
604778,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
604779,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
604780,unlikely,unknown,,0.0,Kastanozems,292.3,Raton-Clayton,578.7,Dotsero
611739,unlikely,unknown,,0.0,Chernozems,421.7,Yellowstone,598.0,Hell's Half Acre
611741,unlikely,unknown,,0.0,Chernozems,421.7,Yellowstone,598.0,Hell's Half Acre
614502,unlikely,unknown,,0.0,Calcisols,72.0,Potrillo Volcanic Field,157.4,Carrizozo
614504,unlikely,unknown,,0.0,Calcisols,72.0,Potrillo Volcanic Field,157.4,Carrizozo
614513,unlikely,unknown,,0.0,Calcisols,72.0,Potrillo Volcanic Field,157.4,Carrizozo
614514,unlikely,unknown,,0.0,Calcisols,72.0,Potrillo Volcanic Field,157.4,Carrizozo
614524,unlikely,unknown,,0.0,Calcisols,71.9,Potrillo Volcanic Field,157.5,Carrizozo
614553,unlikely,unknown,,0.0,Calcisols,76.7,Potrillo Volcanic Field,152.8,Carrizozo
614567,unlikely,unknown,,0.0,Calcisols,76.7,Potrillo Volcanic Field,152.8,Carrizozo
614574,unlikely,unknown,,0.0,Calcisols,76.7,Potrillo Volcanic Field,152.8,Carrizozo
614590,unlikely,unknown,,0.0,Calcisols,77.4,Potrillo Volcanic Field,152.1,Carrizozo
615465,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615470,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615475,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615476,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615477,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615481,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615482,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
615484,unlikely,unknown,,0.0,Luvisols,1201.6,Raton-Clayton,1288.3,Dotsero
620207,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620208,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620209,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620210,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620211,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620213,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620214,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
620216,unlikely,unknown,,1.0,Luvisols,1261.8,Raton-Clayton,1487.5,Carrizozo
620217,unlikely,unknown,,1.0,Luvisols,1261.8,Raton-Clayton,1487.5,Carrizozo
620218,unlikely,unknown,,1.0,Luvisols,1261.8,Raton-Clayton,1487.5,Carrizozo
620258,unlikely,unknown,,1.0,Acrisols,1631.3,Raton-Clayton,1821.9,Carrizozo
620719,unlikely,unknown,,1.0,Phaeozems,954.2,McCoy,993.3,Dotsero
620720,unlikely,unknown,,1.0,Phaeozems,954.2,McCoy,993.3,Dotsero
620721,unlikely,unknown,,1.0,Phaeozems,954.2,McCoy,993.3,Dotsero
620722,unlikely,unknown,,1.0,Phaeozems,954.2,McCoy,993.3,Dotsero
621345,unlikely,unknown,,0.0,Luvisols,1561.7,Raton-Clayton,1750.5,Carrizozo
621346,unlikely,unknown,,0.0,Luvisols,1561.7,Raton-Clayton,1750.5,Carrizozo
621347,unlikely,unknown,,0.0,Luvisols,1561.7,Raton-Clayton,1750.5,Carrizozo
621351,unlikely,unknown,,1.0,Luvisols,1588.9,Raton-Clayton,1770.4,Carrizozo
621352,unlikely,unknown,,1.0,Luvisols,1588.9,Raton-Clayton,1770.4,Carrizozo
621354,unlikely,unknown,,1.0,Luvisols,1431.9,Raton-Clayton,1586.8,Carrizozo
621360,unlikely,unknown,,1.0,Luvisols,1431.9,Raton-Clayton,1586.8,Carrizozo
621364,unlikely,unknown,,0.0,Luvisols,1226.6,Raton-Clayton,1386.0,Carrizozo
626809,unlikely,unknown,,0.0,Cambisols,2066.5,Raton-Clayton,2192.6,Dotsero
626812,unlikely,unknown,,0.0,Cambisols,2066.5,Raton-Clayton,2192.6,Dotsero
626813,unlikely,unknown,,0.0,Cambisols,2066.5,Raton-Clayton,2192.6,Dotsero
626814,unlikely,unknown,,0.0,Cambisols,2066.5,Raton-Clayton,2192.6,Dotsero
627148,unlikely,unknown,,0.0,Kastanozems,933.3,McCoy,975.4,Dotsero
627152,unlikely,unknown,,0.0,Kastanozems,933.3,McCoy,975.4,Dotsero
627153,unlikely,unknown,,0.0,Kastanozems,933.3,McCoy,975.4,Dotsero
627154,unlikely,unknown,,0.0,Kastanozems,933.3,McCoy,975.4,Dotsero
627155,unlikely,unknown,,0.0,Kastanozems,933.3,McCoy,975.4,Dotsero
627156,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627157,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627158,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627159,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627160,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627161,unlikely,unknown,,0.0,Kastanozems,933.2,McCoy,975.4,Dotsero
627519,unlikely,unknown,,1.0,Luvisols,1617.7,Raton-Clayton,1813.0,Carrizozo
627520,unlikely,unknown,,1.0,Luvisols,1617.7,Raton-Clayton,1813.0,Carrizozo
627521,unlikely,unknown,,1.0,Luvisols,1617.7,Raton-Clayton,1813.0,Carrizozo
627522,unlikely,unknown,,1.0,Luvisols,1617.7,Raton-Clayton,1813.0,Carrizozo
627523,unlikely,unknown,,1.0,Luvisols,1617.7,Raton-Clayton,1813.0,Carrizozo
627525,unlikely,unknown,,0.0,Luvisols,1556.1,Raton-Clayton,1749.2,Carrizozo
627526,unlikely,unknown,,0.0,Luvisols,1556.1,Raton-Clayton,1749.2,Carrizozo
627527,unlikely,unknown,,0.0,Luvisols,1556.1,Raton-Clayton,1749.2,Carrizozo
627529,unlikely,unknown,,0.0,Luvisols,1556.1,Raton-Clayton,1749.2,Carrizozo
627530,unlikely,unknown,,1.0,Luvisols,1583.4,Raton-Clayton,1776.8,Carrizozo
